id,dataset,question_type,question_stem,improved_question,label,gold_choice,is_correct,answer,letter_answer,llm_output,llm_extracted_output,model,error
ddxplus-12,ddxplus,ddxplus,"If the patient has not been in contact with someone who has had pertussis (whoooping cough), how will this affect the less probability of Whooping cough?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-14,ddxplus,ddxplus,"If the patient has vomited several times or have the patient made several efforts to vomit, how will this affect the more probability of Boerhaave?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-13,ddxplus,ddxplus,"If the patient answers NO to ""Were you born prematurely or did you suffer any complication at birth"", how will this affect the more probability of Inguinal hernia?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-15,ddxplus,ddxplus,"If the patient does not feel like the patient are dying or were the patient afraid that the patient were about do die, how will this affect the more probability of Panic attack?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-16,ddxplus,ddxplus,"If the patient has had chills or shivers, how will this affect the more probability of Pneumonia?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-18,ddxplus,ddxplus,"If the patient does not feel the patient's heart is beating fast (racing), irregularly (missing a beat) or do the patient feel palpitations, how will this affect the more probability of Pericarditis?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-17,ddxplus,ddxplus,"If the patient does not have high cholesterol or do the patient take medications to treat high cholesterol, how will this affect the less probability of Stable angina?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-19,ddxplus,ddxplus,"If the patient did vomit after coughing, how will this affect the less probability of Whooping cough?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-20,ddxplus,ddxplus,"If the patient has high cholesterol or do the patient take medications to treat high cholesterol, how will this affect the more probability of Stable angina?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-21,ddxplus,ddxplus,"If the patient does not have the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision), how will this affect the less probability of Myasthenia gravis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-22,ddxplus,ddxplus,"If the patient has noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in the patient's general well-being related to the patient's consultation today, how will this affect the less probability of Chagas?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-23,ddxplus,ddxplus,"If the patient is not being treated for osteoporosis, how will this affect the less probability of Spontaneous rib fracture?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-24,ddxplus,ddxplus,"If the patient has not been in contact with a person with similar symptoms in the past 2 weeks, how will this affect the less probability of Viral pharyngitis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-26,ddxplus,ddxplus,"If the patient has not or any member of the patient's family ever had croup, how will this affect the more probability of Croup?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-25,ddxplus,ddxplus,"If the patient has never been diagnosed with gastroesophageal reflux before, how will this affect the less probability of Larygospasm?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-27,ddxplus,ddxplus,"If the patient does not have a deviated nasal septum, how will this affect the more probability of Chronic rhinosinusitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-28,ddxplus,ddxplus,"If the patient has not noticed that the tone of the patient's voice has become deeper, softer or hoarse, how will this affect the more probability of Epiglottitis?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-29,ddxplus,ddxplus,"If the patient is not exposed to secondhand cigarette smoke on a daily basis, how will this affect the more probability of Pulmonary neoplasm?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-30,ddxplus,ddxplus,"If the patient has been in contact with someone who has had pertussis (whoooping cough), how will this affect the less probability of Whooping cough?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-32,ddxplus,ddxplus,"If the patient has difficulty swallowing, or have a feeling of discomfort/blockage when swallowing, how will this affect the less probability of Epiglottitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-31,ddxplus,ddxplus,"If the patient has been diagnosed with depression before, how will this affect the less probability of Panic attack?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-33,ddxplus,ddxplus,"If the patient has never had a stroke before, how will this affect the less probability of Pneumonia?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-34,ddxplus,ddxplus,"If the patient does not feel the patient's abdomen is bloated or distended (swollen due to pressure from inside), how will this affect the less probability of Inguinal hernia?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-35,ddxplus,ddxplus,"If the patient has not recently had a viral infection, how will this affect the more probability of Pericarditis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-36,ddxplus,ddxplus,"If the patient does not have pain that is increased when the patient breathe in deeply, how will this affect the less probability of Spontaneous pneumothorax?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-38,ddxplus,ddxplus,"If the patient is exposed to secondhand cigarette smoke on a daily basis, how will this affect the less probability of Pulmonary neoplasm?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-37,ddxplus,ddxplus,"If the patient's BMI is not less than 18.5, or are the patient underweight, how will this affect the more probability of Tuberculosis?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-39,ddxplus,ddxplus,"If the patient has not had unprotected sex with more than one partner in the last 6 months, how will this affect the less probability of HIV (initial infection)?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-40,ddxplus,ddxplus,"If the patient has noticed that the patient produce more saliva than usual, how will this affect the more probability of Epiglottitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-41,ddxplus,ddxplus,"If the patient has had sexual intercourse with an HIV-positive partner in the past 12 months, how will this affect the less probability of HIV (initial infection)?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-42,ddxplus,ddxplus,"If the patient has any family members who have asthma, how will this affect the less probability of Bronchospasm / acute asthma exacerbation?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-44,ddxplus,ddxplus,"If the patient has not noticed a high pitched sound when breathing in, how will this affect the less probability of Croup?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-43,ddxplus,ddxplus,"If the patient has never had surgery to remove lymph nodes before, how will this affect the less probability of Localized edema?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-45,ddxplus,ddxplus,"If the patient answers NO to ""Are there any members of your family who have been diagnosed myasthenia gravis"", how will this affect the more probability of Myasthenia gravis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-46,ddxplus,ddxplus,"If the patient has not lost the patient's sense of smell, how will this affect the less probability of Acute rhinosinusitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-47,ddxplus,ddxplus,"If the patient does not have polyps in the patient's nose, how will this affect the more probability of Acute rhinosinusitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-48,ddxplus,ddxplus,"If the patient does not have a known heart defect, how will this affect the more probability of Atrial fibrillation?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-50,ddxplus,ddxplus,"If the patient's symptoms are more prominent at night, how will this affect the more probability of Pneumonia?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-49,ddxplus,ddxplus,"If the patient does not have high cholesterol or do the patient take medications to treat high cholesterol, how will this affect the less probability of Possible NSTEMI / STEMI?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-51,ddxplus,ddxplus,"If the patient does not live in in a big city, how will this affect the less probability of Bronchospasm / acute asthma exacerbation?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-52,ddxplus,ddxplus,"If the patient has pain that is increased when the patient breathe in deeply, how will this affect the less probability of Spontaneous pneumothorax?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-53,ddxplus,ddxplus,"If the patient does not have trouble keeping the patient's tongue in the patient's mouth, how will this affect the more probability of Acute dystonic reactions?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-54,ddxplus,ddxplus,"If the patient does not live with 4 or more people, how will this affect the more probability of Acute laryngitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-55,ddxplus,ddxplus,"If the patient has not been in contact with a person with similar symptoms in the past 2 weeks, how will this affect the less probability of Ebola?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-56,ddxplus,ddxplus,"If the patient has polyps in the patient's nose, how will this affect the more probability of Chronic rhinosinusitis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-57,ddxplus,ddxplus,"If the patient is of Asian descent, how will this affect the more probability of Bronchiectasis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-58,ddxplus,ddxplus,"If the patient has not been coughing up blood, how will this affect the more probability of Viral pharyngitis?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-60,ddxplus,ddxplus,"If the patient has had a sexually transmitted infection before, how will this affect the less probability of HIV (initial infection)?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-59,ddxplus,ddxplus,"If the patient is taking any new oral anticoagulants ((NOACs), how will this affect the less probability of Anemia?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-62,ddxplus,ddxplus,"If the patient is not immunosuppressed, how will this affect the less probability of Viral pharyngitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-61,ddxplus,ddxplus,"If the patient drinks alcohol excessively or do the patient have an addiction to alcohol, how will this affect the less probability of Boerhaave?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-64,ddxplus,ddxplus,"If the patient does not have a chronic obstructive pulmonary disease (COPD), how will this affect the less probability of Bronchitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-63,ddxplus,ddxplus,"If the patient has symptoms that are increased with physical exertion but alleviated with rest, how will this affect the more probability of Spontaneous pneumothorax?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-66,ddxplus,ddxplus,"If the patient does not have cystic fibrosis, how will this affect the less probability of Bronchiectasis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-65,ddxplus,ddxplus,"If the patient has not vomited several times or have the patient made several efforts to vomit, how will this affect the less probability of Boerhaave?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-67,ddxplus,ddxplus,"If the patient's vaccinations are up to date, how will this affect the less probability of Bronchitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-68,ddxplus,ddxplus,"If the patient does not feel that muscle spasms or soreness in the patient's neck are keeping the patient from turning the patient's head to one side, how will this affect the less probability of Acute dystonic reactions?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-70,ddxplus,ddxplus,"If the patient has not been able to pass stools or gas since the patient's symptoms increased, how will this affect the less probability of Inguinal hernia?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-69,ddxplus,ddxplus,"If the patient has had chills or shivers, how will this affect the more probability of Influenza?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-71,ddxplus,ddxplus,"If the patient has not noticed a wheezing sound when the patient exhale, how will this affect the less probability of Scombroid food poisoning?",,more,A,False,no_effect,C,C,C,llama3.1:8b,
ddxplus-72,ddxplus,ddxplus,"If the patient does not live with 4 or more people, how will this affect the more probability of URTI?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-73,ddxplus,ddxplus,"If the patient does not have severe Chronic Obstructive Pulmonary Disease (COPD), how will this affect the less probability of Acute COPD exacerbation / infection?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-74,ddxplus,ddxplus,"If the patient is a former smoker, how will this affect the less probability of Possible NSTEMI / STEMI?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-75,ddxplus,ddxplus,"If the patient has noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in the patient's general well-being related to the patient's consultation today, how will this affect the less probability of Acute pulmonary edema?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-76,ddxplus,ddxplus,"If the patient does not have polyps in the patient's nose, how will this affect the more probability of Chronic rhinosinusitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-78,ddxplus,ddxplus,"If the patient does not take corticosteroids, how will this affect the more probability of Tuberculosis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-77,ddxplus,ddxplus,"If the patient has polyps in the patient's nose, how will this affect the less probability of Acute rhinosinusitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-79,ddxplus,ddxplus,"If the patient has had diarrhea or an increase in stool frequency, how will this affect the more probability of Scombroid food poisoning?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-80,ddxplus,ddxplus,"If the patient has swelling in one or more areas of the patient's body, how will this affect the more probability of Anaphylaxis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-81,ddxplus,ddxplus,"If the patient is feeling nauseous or do the patient feel like vomiting, how will this affect the less probability of Boerhaave?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-82,ddxplus,ddxplus,"If the patient did not lose consciousness, how will this affect the more probability of Anaphylaxis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-83,ddxplus,ddxplus,"If the patient does think the patient are pregnant or are the patient currently pregnant, how will this affect the more probability of GERD?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-85,ddxplus,ddxplus,"If the patient does not have diffuse (widespread) muscle pain, how will this affect the less probability of URTI?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-84,ddxplus,ddxplus,"If the patient has never had a spontaneous pneumothorax before, how will this affect the less probability of Spontaneous pneumothorax?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-87,ddxplus,ddxplus,"If the patient is consulting because the patient have high blood pressure, how will this affect the less probability of SLE?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-86,ddxplus,ddxplus,"If the patient has had an involuntary weight loss over the last 3 months, how will this affect the more probability of Tuberculosis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-88,ddxplus,ddxplus,"If the patient answers YES to ""Are there members of your family who have been diagnosed with pancreatic cancer"", how will this affect the more probability of Pancreatic neoplasm?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-89,ddxplus,ddxplus,"If the patient has not been in contact with a person with similar symptoms in the past 2 weeks, how will this affect the more probability of URTI?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-90,ddxplus,ddxplus,"If the patient has pain that is increased when the patient breathe in deeply, how will this affect the more probability of Pericarditis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-91,ddxplus,ddxplus,"If the patient does not have pain that improves when the patient lean forward, how will this affect the less probability of Epiglottitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-93,ddxplus,ddxplus,"If the patient's symptoms are more prominent at night, how will this affect the less probability of Croup?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-92,ddxplus,ddxplus,"If the patient's vaccinations are up to date, how will this affect the more probability of Acute otitis media?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-94,ddxplus,ddxplus,"If the patient does live in in a big city, how will this affect the more probability of Allergic sinusitis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-95,ddxplus,ddxplus,"If the patient does not have a fever (either felt or measured with a thermometer), how will this affect the more probability of Acute laryngitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-96,ddxplus,ddxplus,"If the patient has noticed a wheezing sound when the patient exhale, how will this affect the less probability of Scombroid food poisoning?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-97,ddxplus,ddxplus,"If the patient has had one or several flare ups of chronic obstructive pulmonary disease (COPD) in the past year, how will this affect the more probability of Acute COPD exacerbation / infection?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-98,ddxplus,ddxplus,"If the patient did have the patient's first menstrual period before the age of 12, how will this affect the more probability of SLE?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-100,ddxplus,ddxplus,"If the patient answers NO to ""In the last month, have you been in contact with anyone infected with the Ebola virus"", how will this affect the more probability of Ebola?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-99,ddxplus,ddxplus,"If the patient has had an involuntary weight loss over the last 3 months, how will this affect the less probability of Pancreatic neoplasm?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-101,ddxplus,ddxplus,"If the patient is not currently using intravenous drugs, how will this affect the less probability of HIV (initial infection)?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-102,ddxplus,ddxplus,"If the patient has symptoms that are increased with physical exertion but alleviated with rest, how will this affect the more probability of Stable angina?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-104,ddxplus,ddxplus,"If the patient is infected with the human immunodeficiency virus (HIV), how will this affect the less probability of Possible NSTEMI / STEMI?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-103,ddxplus,ddxplus,"If the patient does not have a sore throat, how will this affect the less probability of URTI?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-106,ddxplus,ddxplus,"If the patient does not have pale stools and dark urine, how will this affect the more probability of Pancreatic neoplasm?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-105,ddxplus,ddxplus,"If the patient does not have a known issue with one of the patient's heart valves, how will this affect the more probability of Atrial fibrillation?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-108,ddxplus,ddxplus,"If the patient does not have a known kidney problem resulting in an inability to retain proteins, how will this affect the more probability of Localized edema?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-107,ddxplus,ddxplus,"If the patient does exercise regularly, 4 times per week or more, how will this affect the less probability of Stable angina?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-109,ddxplus,ddxplus,"If the patient has not had any vaginal discharge, how will this affect the more probability of Sarcoidosis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-110,ddxplus,ddxplus,"If the patient has not noticed that the patient produce more saliva than usual, how will this affect the less probability of Epiglottitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-111,ddxplus,ddxplus,"If the patient does live with 4 or more people, how will this affect the more probability of Viral pharyngitis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-112,ddxplus,ddxplus,"If the patient has never had a heart attack or do the patient have angina (chest pain) before, how will this affect the less probability of Stable angina?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-114,ddxplus,ddxplus,"If the patient does not wheeze while inhaling or is the patient's breathing noisy after coughing spells, how will this affect the more probability of Whooping cough?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-113,ddxplus,ddxplus,"If the patient has not lost the patient's sense of smell, how will this affect the more probability of Chronic rhinosinusitis?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-116,ddxplus,ddxplus,"If the patient does not live with 4 or more people, how will this affect the less probability of Viral pharyngitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-115,ddxplus,ddxplus,"If the patient's vaccinations are not up to date, how will this affect the more probability of Bronchitis?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-118,ddxplus,ddxplus,"If the patient has not noticed any new fatigue, generalized and vague discomfort, diffuse (widespread) muscle aches or a change in the patient's general well-being related to the patient's consultation today, how will this affect the more probability of Chagas?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-117,ddxplus,ddxplus,"If the patient has noticed a high pitched sound when breathing in, how will this affect the less probability of Larygospasm?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-119,ddxplus,ddxplus,"If the patient has close family members who had a cardiovascular disease problem before the age of 50, how will this affect the more probability of Possible NSTEMI / STEMI?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-120,ddxplus,ddxplus,"If the patient does not have greenish or yellowish nasal discharge, how will this affect the more probability of Chronic rhinosinusitis?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-121,ddxplus,ddxplus,"If the patient is not more irritable or has the patient's mood been very unstable recently, how will this affect the less probability of Acute otitis media?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-122,ddxplus,ddxplus,"If the patient has swollen or painful lymph nodes, how will this affect the less probability of Chagas?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-124,ddxplus,ddxplus,"If the patient has been able to pass stools or gas since the patient's symptoms increased, how will this affect the less probability of Inguinal hernia?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-123,ddxplus,ddxplus,"If the patient has breastfed one of the patient's children for more than 9 months, how will this affect the less probability of SLE?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-125,ddxplus,ddxplus,"If the patient does not attend or work in a daycare, how will this affect the less probability of Viral pharyngitis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-126,ddxplus,ddxplus,"If the patient has had a cold in the last 2 weeks, how will this affect the less probability of Acute laryngitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-127,ddxplus,ddxplus,"If the patient does not currently undergo dialysis, how will this affect the more probability of Acute pulmonary edema?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-128,ddxplus,ddxplus,"If the patient has had a heart attack or do the patient have angina (chest pain) before, how will this affect the more probability of Stable angina?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-129,ddxplus,ddxplus,"If the patient has had any vaginal discharge, how will this affect the more probability of Sarcoidosis?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-130,ddxplus,ddxplus,"If the patient does consume energy drinks regularly, how will this affect the less probability of PSVT?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-131,ddxplus,ddxplus,"If the patient does not have Parkinson’s disease, how will this affect the more probability of Pneumonia?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-132,ddxplus,ddxplus,"If the patient does not have a cough that produces colored or more abundant sputum than usual, how will this affect the more probability of Bronchitis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-133,ddxplus,ddxplus,"If the patient has chronic pancreatitis, how will this affect the less probability of Pancreatic neoplasm?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-134,ddxplus,ddxplus,"If the patient has difficulty articulating words/speaking, how will this affect the less probability of Myasthenia gravis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-135,ddxplus,ddxplus,"If the patient has the perception of seeing two images of a single object seen overlapping or adjacent to each other (double vision), how will this affect the less probability of Myasthenia gravis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-136,ddxplus,ddxplus,"If the patient has not noticed a high pitched sound when breathing in, how will this affect the more probability of Larygospasm?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-138,ddxplus,ddxplus,"If the patient is exposed to secondhand cigarette smoke on a daily basis, how will this affect the less probability of URTI?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-137,ddxplus,ddxplus,"If the patient has pain that is increased with movement, how will this affect the less probability of Spontaneous rib fracture?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-139,ddxplus,ddxplus,"If the patient answers NO to ""Did your cheeks suddenly turn red"", how will this affect the less probability of Scombroid food poisoning?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-140,ddxplus,ddxplus,"If the patient has diffuse (widespread) muscle pain, how will this affect the more probability of Influenza?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-142,ddxplus,ddxplus,"If the patient is not exposed to secondhand cigarette smoke on a daily basis, how will this affect the less probability of Larygospasm?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-141,ddxplus,ddxplus,"If the patient has close family members who had a cardiovascular disease problem before the age of 50, how will this affect the more probability of Stable angina?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-143,ddxplus,ddxplus,"If the patient feels out of breath with minimal physical effort, how will this affect the less probability of Myocarditis?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-144,ddxplus,ddxplus,"If the patient does not have annoying muscle spasms in the patient's face, neck or any other part of the patient's body, how will this affect the more probability of Acute dystonic reactions?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-145,ddxplus,ddxplus,"If the patient has been unintentionally losing weight or have the patient lost the patient's appetite, how will this affect the less probability of Chagas?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-146,ddxplus,ddxplus,"If the patient has not had surgery within the last month, how will this affect the more probability of Pulmonary embolism?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-147,ddxplus,ddxplus,"If the patient has had diarrhea or an increase in stool frequency, how will this affect the less probability of Chagas?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-148,ddxplus,ddxplus,"If the patient did not have the patient's first menstrual period before the age of 12, how will this affect the more probability of SLE?",,less,B,False,more,A,A,A,llama3.1:8b,
ddxplus-150,ddxplus,ddxplus,"If the patient does not feel anxious, how will this affect the less probability of PSVT?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-149,ddxplus,ddxplus,"If the patient does not have intense coughing fits, how will this affect the less probability of Inguinal hernia?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-151,ddxplus,ddxplus,"If the patient has had fluid in the patient's lungs before, how will this affect the less probability of Acute pulmonary edema?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-152,ddxplus,ddxplus,"If the patient has swollen or painful lymph nodes, how will this affect the less probability of HIV (initial infection)?",,less,B,True,less,B,B,B,llama3.1:8b,
ddxplus-154,ddxplus,ddxplus,"If the patient does not drink alcohol excessively or do the patient have an addiction to alcohol, how will this affect the less probability of Boerhaave?",,more,A,False,less,B,B,B,llama3.1:8b,
ddxplus-153,ddxplus,ddxplus,"If the patient has a deviated nasal septum, how will this affect the more probability of Acute rhinosinusitis?",,more,A,True,more,A,A,A,llama3.1:8b,
ddxplus-156,ddxplus,ddxplus,"If the patient has chest pain even at rest, how will this affect the more probability of Spontaneous pneumothorax?",,more,A,True,more,A,A,A,llama3.1:8b,
